sl,date,artist,album,song,text
76,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',To start my baby cryin'
77,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Talkin', squealin', lyin'"
78,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sayin' you just wanna be startin' somethin'
79,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
80,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
81,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
82,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
83,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
84,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
85,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
86,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
87,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
88,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
89,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
90,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You love to pretend that you're good
92,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',When you're always up to no good
93,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You really can't make him hate her
94,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',So your tongue became a razor
95,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Someone's always tryin'
96,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',To keep my baby cryin'
97,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Treacherous, cunnin', declinin'"
98,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got my baby cryin'
99,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
100,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
101,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
102,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
103,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
104,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
105,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
106,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
107,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
108,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
109,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
110,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
111,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're a vegetable, you're a vegetable"
112,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Still they hate you, you're a vegetable"
113,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're just a buffet, you're a vegetable"
114,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"They eat off of you, you're a vegetable"
115,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Billie Jean is always talkin'
116,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',When nobody else is talkin'
