sl,date,artist,album,song,word,sentiment
39,30/11/82,Michael Jackson,thriller,Thriller,darkness,fear
39,30/11/82,Michael Jackson,thriller,Thriller,darkness,negative
39,30/11/82,Michael Jackson,thriller,Thriller,darkness,sadness
39,30/11/82,Michael Jackson,thriller,Thriller,land,positive
41,30/11/82,Michael Jackson,thriller,Thriller,crawl,disgust
41,30/11/82,Michael Jackson,thriller,Thriller,crawl,negative
42,30/11/82,Michael Jackson,thriller,Thriller,terrorize,anger
42,30/11/82,Michael Jackson,thriller,Thriller,terrorize,fear
42,30/11/82,Michael Jackson,thriller,Thriller,terrorize,negative
42,30/11/82,Michael Jackson,thriller,Thriller,terrorize,sadness
42,30/11/82,Michael Jackson,thriller,Thriller,neighborhood,anticipation
43,30/11/82,Michael Jackson,thriller,Thriller,found,joy
43,30/11/82,Michael Jackson,thriller,Thriller,found,positive
43,30/11/82,Michael Jackson,thriller,Thriller,found,trust
45,30/11/82,Michael Jackson,thriller,Thriller,hell,anger
45,30/11/82,Michael Jackson,thriller,Thriller,hell,disgust
45,30/11/82,Michael Jackson,thriller,Thriller,hell,fear
45,30/11/82,Michael Jackson,thriller,Thriller,hell,negative
45,30/11/82,Michael Jackson,thriller,Thriller,hell,sadness
46,30/11/82,Michael Jackson,thriller,Thriller,rot,disgust
46,30/11/82,Michael Jackson,thriller,Thriller,rot,fear
46,30/11/82,Michael Jackson,thriller,Thriller,rot,negative
46,30/11/82,Michael Jackson,thriller,Thriller,rot,sadness
46,30/11/82,Michael Jackson,thriller,Thriller,shell,anger
46,30/11/82,Michael Jackson,thriller,Thriller,shell,fear
46,30/11/82,Michael Jackson,thriller,Thriller,shell,negative
46,30/11/82,Michael Jackson,thriller,Thriller,shell,sadness
46,30/11/82,Michael Jackson,thriller,Thriller,shell,surprise
48,30/11/82,Michael Jackson,thriller,Thriller,thrill,anticipation
48,30/11/82,Michael Jackson,thriller,Thriller,thrill,fear
48,30/11/82,Michael Jackson,thriller,Thriller,thrill,joy
48,30/11/82,Michael Jackson,thriller,Thriller,thrill,positive
48,30/11/82,Michael Jackson,thriller,Thriller,thrill,surprise
51,30/11/82,Michael Jackson,thriller,Thriller,funk,negative
51,30/11/82,Michael Jackson,thriller,Thriller,funk,sadness
