sl,Year,artist,album,song,text
79,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
80,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
81,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
82,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
83,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
84,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
85,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
86,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
87,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
88,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
89,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
90,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
91,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You love to pretend that you're good
92,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',When you're always up to no good
93,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You really can't make him hate her
94,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',So your tongue became a razor
95,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Someone's always tryin'
96,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',To keep my baby cryin'
97,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Treacherous, cunnin', declinin'"
98,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got my baby cryin'
99,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
100,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
101,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
102,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
103,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
104,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
105,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
106,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
107,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
108,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
109,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
110,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
111,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're a vegetable, you're a vegetable"
112,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Still they hate you, you're a vegetable"
113,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're just a buffet, you're a vegetable"
114,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"They eat off of you, you're a vegetable"
115,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Billie Jean is always talkin'
116,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',When nobody else is talkin'
117,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Tellin' lies and rubbin' shoulders
118,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',So they called her mouth a motor
119,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Someone's always tryin'
120,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',To start my baby cryin'
121,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Talkin', squealin', spyin'"
122,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sayin' you just wanna be startin' somethin'
123,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
124,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
125,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
126,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
127,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
128,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
129,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
130,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
131,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
132,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
133,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
134,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
135,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're a vegetable, you're a vegetable"
136,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Still they hate you, you're a vegetable"
137,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're just a buffet, you're a vegetable"
138,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"They eat off of you, you're a vegetable"
