X.,song,word,sentiment
93,Wanna Be Startin' Somethin',good,trust
94,Wanna Be Startin' Somethin',hate,anger
94,Wanna Be Startin' Somethin',hate,disgust
94,Wanna Be Startin' Somethin',hate,fear
94,Wanna Be Startin' Somethin',hate,negative
94,Wanna Be Startin' Somethin',hate,sadness
95,Wanna Be Startin' Somethin',razor,fear
97,Wanna Be Startin' Somethin',baby,joy
97,Wanna Be Startin' Somethin',baby,positive
98,Wanna Be Startin' Somethin',treacherous,anger
98,Wanna Be Startin' Somethin',treacherous,disgust
98,Wanna Be Startin' Somethin',treacherous,fear
98,Wanna Be Startin' Somethin',treacherous,negative
99,Wanna Be Startin' Somethin',baby,joy
99,Wanna Be Startin' Somethin',baby,positive
107,Wanna Be Startin' Somethin',pain,fear
107,Wanna Be Startin' Somethin',pain,negative
107,Wanna Be Startin' Somethin',pain,sadness
111,Wanna Be Startin' Somethin',pain,fear
111,Wanna Be Startin' Somethin',pain,negative
111,Wanna Be Startin' Somethin',pain,sadness
113,Wanna Be Startin' Somethin',hate,anger
113,Wanna Be Startin' Somethin',hate,disgust
113,Wanna Be Startin' Somethin',hate,fear
113,Wanna Be Startin' Somethin',hate,negative
113,Wanna Be Startin' Somethin',hate,sadness
114,Wanna Be Startin' Somethin',buffet,anger
114,Wanna Be Startin' Somethin',buffet,negative
115,Wanna Be Startin' Somethin',eat,positive
119,Wanna Be Startin' Somethin',mouth,surprise
121,Wanna Be Startin' Somethin',start,anticipation
121,Wanna Be Startin' Somethin',baby,joy
121,Wanna Be Startin' Somethin',baby,positive
131,Wanna Be Startin' Somethin',pain,fear
131,Wanna Be Startin' Somethin',pain,negative
131,Wanna Be Startin' Somethin',pain,sadness
135,Wanna Be Startin' Somethin',pain,fear
135,Wanna Be Startin' Somethin',pain,negative
135,Wanna Be Startin' Somethin',pain,sadness
137,Wanna Be Startin' Somethin',hate,anger
137,Wanna Be Startin' Somethin',hate,disgust
137,Wanna Be Startin' Somethin',hate,fear
137,Wanna Be Startin' Somethin',hate,negative
137,Wanna Be Startin' Somethin',hate,sadness
138,Wanna Be Startin' Somethin',buffet,anger
138,Wanna Be Startin' Somethin',buffet,negative
139,Wanna Be Startin' Somethin',eat,positive
140,Wanna Be Startin' Somethin',baby,joy
140,Wanna Be Startin' Somethin',baby,positive
141,Wanna Be Startin' Somethin',baby,joy
141,Wanna Be Startin' Somethin',baby,positive
143,Wanna Be Startin' Somethin',baby,joy
143,Wanna Be Startin' Somethin',baby,positive
145,Wanna Be Startin' Somethin',child,anticipation
145,Wanna Be Startin' Somethin',child,joy
145,Wanna Be Startin' Somethin',child,positive
155,Wanna Be Startin' Somethin',pain,fear
155,Wanna Be Startin' Somethin',pain,negative
155,Wanna Be Startin' Somethin',pain,sadness
159,Wanna Be Startin' Somethin',pain,fear
159,Wanna Be Startin' Somethin',pain,negative
159,Wanna Be Startin' Somethin',pain,sadness
161,Wanna Be Startin' Somethin',scream,anger
161,Wanna Be Startin' Somethin',scream,disgust
161,Wanna Be Startin' Somethin',scream,fear
161,Wanna Be Startin' Somethin',scream,negative
161,Wanna Be Startin' Somethin',scream,surprise
163,Wanna Be Startin' Somethin',truth,positive
163,Wanna Be Startin' Somethin',truth,trust
164,Wanna Be Startin' Somethin',hurt,anger
164,Wanna Be Startin' Somethin',hurt,fear
164,Wanna Be Startin' Somethin',hurt,negative
164,Wanna Be Startin' Somethin',hurt,sadness
165,Wanna Be Startin' Somethin',true,joy
165,Wanna Be Startin' Somethin',true,positive
165,Wanna Be Startin' Somethin',true,trust
168,Wanna Be Startin' Somethin',sing,anticipation
168,Wanna Be Startin' Somethin',sing,joy
168,Wanna Be Startin' Somethin',sing,positive
168,Wanna Be Startin' Somethin',sing,sadness
168,Wanna Be Startin' Somethin',sing,trust
172,Wanna Be Startin' Somethin',sing,anticipation
172,Wanna Be Startin' Somethin',sing,joy
172,Wanna Be Startin' Somethin',sing,positive
172,Wanna Be Startin' Somethin',sing,sadness
172,Wanna Be Startin' Somethin',sing,trust
173,Wanna Be Startin' Somethin',sing,anticipation
173,Wanna Be Startin' Somethin',sing,joy
173,Wanna Be Startin' Somethin',sing,positive
173,Wanna Be Startin' Somethin',sing,sadness
173,Wanna Be Startin' Somethin',sing,trust
174,Wanna Be Startin' Somethin',sing,anticipation
174,Wanna Be Startin' Somethin',sing,joy
174,Wanna Be Startin' Somethin',sing,positive
174,Wanna Be Startin' Somethin',sing,sadness
174,Wanna Be Startin' Somethin',sing,trust
175,Wanna Be Startin' Somethin',sing,anticipation
175,Wanna Be Startin' Somethin',sing,joy
175,Wanna Be Startin' Somethin',sing,positive
175,Wanna Be Startin' Somethin',sing,sadness
175,Wanna Be Startin' Somethin',sing,trust
180,Wanna Be Startin' Somethin',sing,anticipation
180,Wanna Be Startin' Somethin',sing,joy
180,Wanna Be Startin' Somethin',sing,positive
180,Wanna Be Startin' Somethin',sing,sadness
180,Wanna Be Startin' Somethin',sing,trust
182,Wanna Be Startin' Somethin',sing,anticipation
182,Wanna Be Startin' Somethin',sing,joy
182,Wanna Be Startin' Somethin',sing,positive
182,Wanna Be Startin' Somethin',sing,sadness
182,Wanna Be Startin' Somethin',sing,trust
187,Wanna Be Startin' Somethin',sing,anticipation
187,Wanna Be Startin' Somethin',sing,joy
187,Wanna Be Startin' Somethin',sing,positive
187,Wanna Be Startin' Somethin',sing,sadness
187,Wanna Be Startin' Somethin',sing,trust
187,Wanna Be Startin' Somethin',baby,joy
187,Wanna Be Startin' Somethin',baby,positive
188,Wanna Be Startin' Somethin',sing,anticipation
188,Wanna Be Startin' Somethin',sing,joy
188,Wanna Be Startin' Somethin',sing,positive
188,Wanna Be Startin' Somethin',sing,sadness
188,Wanna Be Startin' Somethin',sing,trust
189,Wanna Be Startin' Somethin',sing,anticipation
189,Wanna Be Startin' Somethin',sing,joy
189,Wanna Be Startin' Somethin',sing,positive
189,Wanna Be Startin' Somethin',sing,sadness
189,Wanna Be Startin' Somethin',sing,trust
194,Baby Be Mine,show,trust
194,Baby Be Mine,perfect,anticipation
194,Baby Be Mine,perfect,joy
194,Baby Be Mine,perfect,positive
194,Baby Be Mine,perfect,trust
194,Baby Be Mine,love,joy
194,Baby Be Mine,love,positive
196,Baby Be Mine,baby,joy
196,Baby Be Mine,baby,positive
196,Baby Be Mine,baby,joy
196,Baby Be Mine,baby,positive
198,Baby Be Mine,baby,joy
198,Baby Be Mine,baby,positive
198,Baby Be Mine,time,anticipation
199,Baby Be Mine,share,anticipation
199,Baby Be Mine,share,joy
199,Baby Be Mine,share,positive
199,Baby Be Mine,share,trust
199,Baby Be Mine,ecstasy,anticipation
199,Baby Be Mine,ecstasy,joy
199,Baby Be Mine,ecstasy,positive
200,Baby Be Mine,long,anticipation
200,Baby Be Mine,love,joy
200,Baby Be Mine,love,positive
201,Baby Be Mine,reason,positive
201,Baby Be Mine,change,fear
202,Baby Be Mine,guess,surprise
202,Baby Be Mine,thrill,anticipation
202,Baby Be Mine,thrill,fear
202,Baby Be Mine,thrill,joy
202,Baby Be Mine,thrill,positive
202,Baby Be Mine,thrill,surprise
202,Baby Be Mine,baby,joy
202,Baby Be Mine,baby,positive
205,Baby Be Mine,share,anticipation
205,Baby Be Mine,share,joy
205,Baby Be Mine,share,positive
205,Baby Be Mine,share,trust
205,Baby Be Mine,embrace,anticipation
205,Baby Be Mine,embrace,joy
205,Baby Be Mine,embrace,positive
205,Baby Be Mine,embrace,surprise
205,Baby Be Mine,embrace,trust
206,Baby Be Mine,show,trust
206,Baby Be Mine,passion,anticipation
206,Baby Be Mine,passion,joy
206,Baby Be Mine,passion,positive
206,Baby Be Mine,passion,trust
207,Baby Be Mine,fade,negative
208,Baby Be Mine,baby,joy
208,Baby Be Mine,baby,positive
208,Baby Be Mine,baby,joy
208,Baby Be Mine,baby,positive
210,Baby Be Mine,baby,joy
210,Baby Be Mine,baby,positive
210,Baby Be Mine,time,anticipation
212,Baby Be Mine,reason,positive
213,Baby Be Mine,sun,anticipation
213,Baby Be Mine,sun,joy
213,Baby Be Mine,sun,positive
213,Baby Be Mine,sun,surprise
213,Baby Be Mine,sun,trust
214,Baby Be Mine,promise,joy
214,Baby Be Mine,promise,positive
214,Baby Be Mine,promise,trust
214,Baby Be Mine,dawn,anticipation
214,Baby Be Mine,dawn,joy
214,Baby Be Mine,dawn,positive
214,Baby Be Mine,dawn,surprise
214,Baby Be Mine,dawn,trust
215,Baby Be Mine,begun,anticipation
218,Baby Be Mine,thrill,anticipation
218,Baby Be Mine,thrill,fear
218,Baby Be Mine,thrill,joy
218,Baby Be Mine,thrill,positive
218,Baby Be Mine,thrill,surprise
218,Baby Be Mine,baby,joy
218,Baby Be Mine,baby,positive
219,Baby Be Mine,love,joy
219,Baby Be Mine,love,positive
219,Baby Be Mine,time,anticipation
221,Baby Be Mine,sky,positive
222,Baby Be Mine,sweet,anticipation
222,Baby Be Mine,sweet,joy
222,Baby Be Mine,sweet,positive
222,Baby Be Mine,sweet,surprise
222,Baby Be Mine,sweet,trust
222,Baby Be Mine,love,joy
222,Baby Be Mine,love,positive
224,Baby Be Mine,baby,joy
224,Baby Be Mine,baby,positive
224,Baby Be Mine,baby,joy
224,Baby Be Mine,baby,positive
225,Baby Be Mine,love,joy
225,Baby Be Mine,love,positive
228,Baby Be Mine,baby,joy
228,Baby Be Mine,baby,positive
228,Baby Be Mine,time,anticipation
229,Baby Be Mine,show,trust
231,Baby Be Mine,reason,positive
233,Baby Be Mine,baby,joy
