sl,Year,artist,album,song,word
35,1982,Michael Jackson,Thriller,Thriller,thriller
35,1982,Michael Jackson,Thriller,Thriller,night
36,1982,Michael Jackson,Thriller,Thriller,hold
36,1982,Michael Jackson,Thriller,Thriller,tight
36,1982,Michael Jackson,Thriller,Thriller,share
36,1982,Michael Jackson,Thriller,Thriller,killer
36,1982,Michael Jackson,Thriller,Thriller,thriller
37,1982,Michael Jackson,Thriller,Thriller,gonna
37,1982,Michael Jackson,Thriller,Thriller,thrill
37,1982,Michael Jackson,Thriller,Thriller,tonight
38,1982,Michael Jackson,Thriller,Thriller,vincent
38,1982,Michael Jackson,Thriller,Thriller,price
39,1982,Michael Jackson,Thriller,Thriller,darkness
39,1982,Michael Jackson,Thriller,Thriller,falls
39,1982,Michael Jackson,Thriller,Thriller,land
40,1982,Michael Jackson,Thriller,Thriller,midnight
40,1982,Michael Jackson,Thriller,Thriller,hour
40,1982,Michael Jackson,Thriller,Thriller,close
40,1982,Michael Jackson,Thriller,Thriller,hand
41,1982,Michael Jackson,Thriller,Thriller,creatures
41,1982,Michael Jackson,Thriller,Thriller,crawl
41,1982,Michael Jackson,Thriller,Thriller,search
41,1982,Michael Jackson,Thriller,Thriller,blood
42,1982,Michael Jackson,Thriller,Thriller,terrorize
42,1982,Michael Jackson,Thriller,Thriller,y'all's
42,1982,Michael Jackson,Thriller,Thriller,neighborhood
43,1982,Michael Jackson,Thriller,Thriller,whomsoever
43,1982,Michael Jackson,Thriller,Thriller,found
44,1982,Michael Jackson,Thriller,Thriller,soul
45,1982,Michael Jackson,Thriller,Thriller,stand
45,1982,Michael Jackson,Thriller,Thriller,hounds
45,1982,Michael Jackson,Thriller,Thriller,hell
46,1982,Michael Jackson,Thriller,Thriller,rot
46,1982,Michael Jackson,Thriller,Thriller,inside
46,1982,Michael Jackson,Thriller,Thriller,corpse's
46,1982,Michael Jackson,Thriller,Thriller,shell
47,1982,Michael Jackson,Thriller,Thriller,michael
47,1982,Michael Jackson,Thriller,Thriller,jackson
48,1982,Michael Jackson,Thriller,Thriller,gonna
48,1982,Michael Jackson,Thriller,Thriller,thrill
48,1982,Michael Jackson,Thriller,Thriller,tonight
49,1982,Michael Jackson,Thriller,Thriller,vincent
49,1982,Michael Jackson,Thriller,Thriller,price
50,1982,Michael Jackson,Thriller,Thriller,foulest
50,1982,Michael Jackson,Thriller,Thriller,stench
50,1982,Michael Jackson,Thriller,Thriller,air
51,1982,Michael Jackson,Thriller,Thriller,funk
51,1982,Michael Jackson,Thriller,Thriller,forty
51,1982,Michael Jackson,Thriller,Thriller,thousand
52,1982,Michael Jackson,Thriller,Thriller,grisly
52,1982,Michael Jackson,Thriller,Thriller,ghouls
52,1982,Michael Jackson,Thriller,Thriller,tomb
53,1982,Michael Jackson,Thriller,Thriller,closing
53,1982,Michael Jackson,Thriller,Thriller,seal
53,1982,Michael Jackson,Thriller,Thriller,doom
54,1982,Michael Jackson,Thriller,Thriller,fight
54,1982,Michael Jackson,Thriller,Thriller,stay
54,1982,Michael Jackson,Thriller,Thriller,alive
55,1982,Michael Jackson,Thriller,Thriller,body
55,1982,Michael Jackson,Thriller,Thriller,starts
55,1982,Michael Jackson,Thriller,Thriller,shiver
56,1982,Michael Jackson,Thriller,Thriller,mere
56,1982,Michael Jackson,Thriller,Thriller,mortal
56,1982,Michael Jackson,Thriller,Thriller,resist
57,1982,Michael Jackson,Thriller,Thriller,evil
57,1982,Michael Jackson,Thriller,Thriller,thriller
58,1982,Michael Jackson,Thriller,Thriller,maniacal
58,1982,Michael Jackson,Thriller,Thriller,laugh
58,1982,Michael Jackson,Thriller,Thriller,deep
58,1982,Michael Jackson,Thriller,Thriller,echo
59,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
59,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
59,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
60,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
60,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
61,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
61,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
61,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
62,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
62,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
63,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
63,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
64,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
64,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
64,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
65,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
65,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
65,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
65,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
66,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
66,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
66,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
66,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
67,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
67,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
68,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
68,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
68,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
69,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
69,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
69,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
69,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
70,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
70,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
70,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
70,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
71,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
71,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',doctor
72,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',fever
72,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',found
73,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',time
73,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',hit
73,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',street
74,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',breakdown
75,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',someone's
75,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',tryin
76,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',start
76,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
76,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',cryin
77,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',talkin
77,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',squealin
77,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',lyin
78,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',sayin
78,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
78,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
78,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
79,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
79,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
79,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
80,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
80,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
81,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
81,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
81,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
82,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
82,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
83,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
83,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
84,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
84,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
84,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
85,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
85,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
85,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
85,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
86,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
86,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
86,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
86,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
87,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
87,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
88,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
88,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
88,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
89,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
89,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
89,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
89,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
90,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
90,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
90,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
90,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
91,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',love
91,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pretend
93,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',hate
94,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',tongue
94,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',razor
95,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',someone's
95,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',tryin
96,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
96,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',cryin
97,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',treacherous
97,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',cunnin
97,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',declinin
98,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
98,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',cryin
99,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
99,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
99,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
100,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
100,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
101,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
101,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
101,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
102,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
102,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
103,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
103,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
104,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
104,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
104,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
105,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
105,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
105,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
105,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
106,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
106,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
106,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
106,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
107,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
107,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
108,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
108,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
108,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
109,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
109,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
109,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
109,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
110,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
110,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
110,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
110,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
111,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
111,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
112,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',hate
112,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
113,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',buffet
113,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
114,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',eat
114,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
115,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',billie
115,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',jean
115,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',talkin
116,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',talkin
117,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',tellin
117,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',lies
117,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',rubbin
117,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',shoulders
118,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',called
118,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',mouth
118,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',motor
119,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',someone's
119,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',tryin
120,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',start
120,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
120,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',cryin
121,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',talkin
121,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',squealin
121,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',spyin
