Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,3699.949951,3757.550049,3600.000000,3644.699951,3451.882813,694487
2015-04-06,3646.000000,3670.899902,3619.000000,3628.949951,3436.966064,262771
2015-04-07,3640.000000,3650.000000,3578.000000,3599.899902,3409.452393,306684
2015-04-08,3615.000000,3664.899902,3606.000000,3628.699951,3436.729248,256031
2015-04-09,3639.000000,3667.000000,3625.000000,3659.199951,3465.615723,238584
2015-04-10,3660.000000,3688.350098,3633.399902,3666.600098,3472.624268,201302
2015-04-13,3661.000000,3680.000000,3642.750000,3665.199951,3471.298340,218690
2015-04-15,3655.000000,3729.000000,3650.399902,3680.250000,3485.552002,232802
2015-04-16,3676.250000,3718.699951,3662.250000,3677.899902,3483.326660,206305
2015-04-17,3666.149902,3682.899902,3636.350098,3646.800049,3453.871582,99056
2015-04-20,3627.000000,3648.399902,3584.600098,3608.050049,3417.171875,175033
2015-04-21,3605.000000,3607.250000,3470.000000,3490.149902,3305.508789,482786
2015-04-22,3491.050049,3508.100098,3386.100098,3462.949951,3279.748047,422446
2015-04-23,3490.000000,3535.550049,3480.000000,3494.449951,3309.581543,234616
2015-04-24,3486.000000,3565.000000,3434.100098,3541.399902,3354.047852,332449
2015-04-27,3563.199951,3684.000000,3520.199951,3648.399902,3455.386963,1804129
2015-04-28,3664.000000,3838.800049,3660.000000,3822.600098,3620.371582,1129937
2015-04-29,3839.000000,3873.000000,3746.649902,3766.199951,3566.955078,703698
2015-04-30,3760.000000,3793.000000,3709.949951,3725.850098,3528.739746,592304
2015-05-04,3797.000000,3840.000000,3726.750000,3757.750000,3558.952148,478823
2015-05-05,3753.000000,3805.000000,3736.550049,3793.050049,3592.384766,458196
2015-05-06,3788.000000,3788.000000,3623.550049,3634.550049,3442.270020,430929
2015-05-07,3626.000000,3626.000000,3520.000000,3543.600098,3356.131348,469950
2015-05-08,3561.449951,3620.000000,3561.449951,3610.550049,3419.539551,495595
2015-05-11,3633.899902,3674.399902,3616.149902,3651.699951,3458.512695,288810
